#,Company,Symbol,Weight,Price,Chg,% Chg
120,The Sherwin-Williams Company,SHW,0.16%,361.11,3.37,(0.94%)
121,3m Company,MMM,0.16%,149.63,0.51,(0.34%)
122,The Cigna Group,CI,0.16%,294.99,5.95,(2.06%)
123,Aon Plc Class A,AON,0.15%,364.67,-2.64,(-0.72%)
124,"Motorola Solutions, Inc.",MSI,0.15%,476.05,4.13,(0.88%)
125,Pnc Financial Services Group,PNC,0.15%,197.65,1.35,(0.69%)
126,Welltower Inc.,WELL,0.15%,132.24,1.09,(0.83%)
127,"Waste Management, Inc.",WM,0.15%,210.10,-1.34,(-0.63%)
128,Capital One Financial,COF,0.15%,204.03,3.10,(1.54%)
129,"Chipotle Mexican Grill, Inc.",CMG,0.15%,57.56,1.66,(2.97%)
130,Transdigm Group Incorporated,TDG,0.15%,"1,349.98",-4.02,(-0.30%)
131,U.S. Bancorp,USB,0.15%,48.43,-0.20,(-0.41%)
132,Moody's Corporation,MCO,0.15%,486.12,1.49,(0.31%)
133,"Apollo Global Management, Inc.",APO,0.15%,169.75,0.85,(0.50%)
134,"Eog Resources, Inc.",EOG,0.15%,133.98,-0.04,(-0.03%)
135,"Mondelez International, Inc. Class A",MDLZ,0.15%,56.96,0.65,(1.15%)
136,Zoetis Inc.,ZTS,0.15%,166.96,0.33,(0.20%)
137,Mckesson Corporation,MCK,0.14%,597.17,12.79,(2.19%)
138,Emerson Electric Co.,EMR,0.14%,131.17,1.23,(0.95%)
139,Arthur J. Gallagher & Co.,AJG,0.14%,288.00,-5.50,(-1.87%)
140,Williams Companies Inc.,WMB,0.14%,59.49,0.29,(0.49%)
141,"O'reilly Automotive, Inc.",ORLY,0.14%,"1,261.62",20.29,(1.63%)
142,Regeneron Pharmaceuticals Inc,REGN,0.14%,694.64,14.61,(2.15%)
143,Colgate-Palmolive Company,CL,0.14%,87.91,0.36,(0.41%)
144,"Air Products & Chemicals, Inc.",APD,0.14%,324.00,7.01,(2.21%)
145,Illinois Tool Works Inc.,ITW,0.14%,259.90,0.76,(0.29%)
146,General Dynamics Corporation,GD,0.13%,268.56,-0.28,(-0.10%)
147,Northrop Grumman Corp.,NOC,0.13%,499.77,-2.64,(-0.53%)
148,"Becton, Dickinson and Co.",BDX,0.13%,240.47,2.55,(1.07%)
149,Cintas Corp,CTAS,0.13%,197.80,-1.22,(-0.61%)
150,Cvs Health Corporation,CVS,0.13%,53.82,0.83,(1.57%)
151,Autodesk Inc,ADSK,0.13%,301.08,-0.37,(-0.12%)
152,Marriot International Class A,MAR,0.13%,285.07,4.66,(1.66%)
153,Csx Corporation,CSX,0.12%,33.67,0.43,(1.29%)
154,Vistra Corp.,VST,0.12%,191.89,5.03,(2.69%)
155,Target Corporation,TGT,0.12%,137.25,1.48,(1.09%)
156,"Fortinet, Inc.",FTNT,0.12%,97.45,-0.79,(-0.80%)
157,Truist Financial Corporation,TFC,0.12%,46.76,-0.25,(-0.53%)
158,"Oneok, Inc.",OKE,0.12%,104.89,-1.41,(-1.33%)
159,Bank of New York Mellon Corporation,BK,0.12%,84.73,0.40,(0.47%)
160,"Ecolab, Inc.",ECL,0.12%,242.92,1.29,(0.53%)
161,Fedex Corporation,FDX,0.12%,270.03,-0.40,(-0.15%)
162,Hilton Worldwide Holdings Inc.,HLT,0.12%,250.11,2.11,(0.85%)
163,"Kinder Morgan, Inc.",KMI,0.12%,30.48,-0.30,(-0.97%)
164,Schlumberger Limited,SLB,0.11%,42.03,0.40,(0.96%)
165,Carrier Global Corporation,CARR,0.11%,69.88,-0.15,(-0.21%)
166,Royal Caribbean Group,RCL,0.11%,238.15,1.99,(0.84%)
167,"Hca Healthcare, Inc.",HCA,0.11%,325.36,5.85,(1.83%)
168,General Motors Company,GM,0.11%,54.22,1.46,(2.77%)
169,Paccar Inc,PCAR,0.11%,110.06,0.22,(0.20%)
170,"Airbnb, Inc. Class A",ABNB,0.11%,133.24,0.74,(0.56%)
171,"Roper Technologies, Inc.",ROP,0.11%,533.24,-1.21,(-0.23%)
172,Norfolk Southern Corp.,NSC,0.11%,256.14,4.29,(1.70%)
173,"Digital Realty Trust, Inc.",DLR,0.11%,183.51,1.07,(0.59%)
174,"Autozone, Inc.",AZO,0.11%,"3,373.57",47.56,(1.43%)
175,Freeport-Mcmoran Inc.,FCX,0.11%,38.50,-0.59,(-1.51%)
176,"The Travelers Companies, Inc.",TRV,0.11%,241.51,-5.21,(-2.11%)
177,Nxp Semiconductors N.v.,NXPI,0.11%,219.88,3.79,(1.75%)
178,Johnson Controls International Plc,JCI,0.11%,82.03,-0.07,(-0.09%)
179,"Ameriprise Financial, Inc.",AMP,0.11%,563.41,1.88,(0.33%)
180,"Workday, Inc. Class A",WDAY,0.10%,255.30,1.82,(0.72%)
181,"Simon Property Group, Inc.",SPG,0.10%,174.86,1.96,(1.13%)
182,"Quanta Services, Inc.",PWR,0.10%,354.75,-2.58,(-0.72%)
183,Sempra,SRE,0.10%,82.81,0.01,(0.01%)
184,Aflac Inc.,AFL,0.10%,104.47,0.17,(0.16%)
185,"American Electric Power Company, Inc.",AEP,0.10%,97.47,-0.02,(-0.02%)
186,Howmet Aerospace Inc.,HWM,0.10%,127.74,1.03,(0.81%)
187,"United Rentals, Inc.",URI,0.10%,788.57,6.04,(0.77%)
188,Copart Inc,CPRT,0.10%,57.61,-0.05,(-0.09%)
189,Cummins Inc.,CMI,0.10%,368.91,2.91,(0.80%)
190,"Metlife, Inc.",MET,0.10%,86.76,1.00,(1.17%)
191,"W.W. Grainger, Inc.",GWW,0.10%,"1,121.41",-1.52,(-0.14%)
192,Ross Stores Inc,ROST,0.10%,148.61,-1.18,(-0.79%)
193,Discover Financial Services,DFS,0.10%,200.96,3.46,(1.75%)
194,The Allstate Corporation,ALL,0.10%,184.66,-0.59,(-0.32%)
195,Phillips 66,PSX,0.09%,122.62,4.07,(3.43%)
196,"Msci, Inc.",MSCI,0.09%,615.96,2.96,(0.48%)
197,Newmont Corporation,NEM,0.09%,41.95,0.27,(0.65%)
198,Marathon Petroleum Corporation,MPC,0.09%,154.31,6.70,(4.54%)
199,Realty Income Corporation,O,0.09%,54.13,0.17,(0.32%)
200,"American International Group, Inc.",AIG,0.09%,74.60,-0.15,(-0.20%)
201,Te Connectivity Plc,TEL,0.09%,156.98,1.89,(1.22%)
202,Paychex Inc,PAYX,0.09%,144.75,-0.03,(-0.02%)
203,Targa Resources Corp.,TRGP,0.09%,211.39,0.12,(0.06%)
204,Public Storage,PSA,0.09%,291.59,0.84,(0.29%)
205,Fair Isaac Corporation,FICO,0.09%,"1,854.60",-25.72,(-1.37%)
206,Baker Hughes Company,BKR,0.09%,45.66,-0.15,(-0.33%)
207,"Dominion Energy, Inc.",D,0.09%,53.21,0.28,(0.53%)
208,"Axon Enterprise, Inc.",AXON,0.09%,613.38,5.78,(0.95%)
209,Public Service Enterprise Group Incorporated,PEG,0.09%,88.17,-0.04,(-0.05%)
210,Agilent Technologies Inc.,A,0.09%,152.45,-0.15,(-0.10%)
211,"Ametek, Inc.",AME,0.08%,190.43,1.73,(0.92%)
212,"Delta Air Lines, Inc.",DAL,0.08%,67.45,-0.33,(-0.49%)
213,Fastenal Co,FAST,0.08%,75.46,-0.14,(-0.19%)
214,Republic Services Inc.,RSG,0.08%,212.27,-0.21,(-0.10%)
215,Lululemon Athletica Inc.,LULU,0.08%,387.85,5.03,(1.31%)
216,"Cencora, Inc.",COR,0.08%,247.94,0.98,(0.40%)
217,"Corteva, Inc.",CTVA,0.08%,64.19,1.68,(2.69%)
218,D.R. Horton Inc.,DHI,0.08%,145.24,-1.69,(-1.15%)
219,Valero Energy Corporation,VLO,0.08%,140.71,5.63,(4.17%)
220,"Fidelity National Information Services, Inc.",FIS,0.08%,79.29,0.77,(0.98%)
221,Kimberly-Clark Corp.,KMB,0.08%,127.03,0.91,(0.72%)
222,"Cbre Group, Inc.",CBRE,0.08%,141.02,1.58,(1.13%)
223,"Prudential Financial, Inc.",PRU,0.08%,116.89,-0.46,(-0.39%)
224,"L3harris Technologies, Inc.",LHX,0.08%,219.79,-0.27,(-0.12%)
225,Corning Incorporated,GLW,0.08%,53.98,-0.03,(-0.06%)
226,Edwards Lifesciences Corp,EW,0.08%,68.93,-0.11,(-0.16%)
227,"Gartner, Inc.",IT,0.08%,524.75,-0.07,(-0.01%)
228,Hess Corporation,HES,0.08%,144.86,-0.73,(-0.50%)
229,Ge Healthcare Technologies Inc.,GEHC,0.08%,88.16,0.83,(0.95%)
230,Kenvue Inc.,KVUE,0.08%,20.75,0.00,(0.00%)
231,"Verisk Analytics, Inc.",VRSK,0.08%,277.98,-1.37,(-0.49%)
232,Exelon Corporation,EXC,0.08%,39.24,0.02,(0.05%)
233,Cognizant Technology Solutions,CTSH,0.08%,79.68,0.63,(0.80%)
234,Ford Motor Company,F,0.08%,10.16,0.13,(1.30%)
235,The Kroger Co.,KR,0.08%,58.57,-0.19,(-0.32%)
236,"Xcel Energy, Inc.",XEL,0.07%,66.06,-0.92,(-1.37%)
237,Crown Castle Inc.,CCI,0.07%,88.64,0.21,(0.24%)
238,Otis Worldwide Corporation,OTIS,0.07%,96.20,0.81,(0.85%)
239,Ingersoll Rand Inc.,IR,0.07%,94.06,-0.17,(-0.18%)
240,Resmed Inc.,RMD,0.07%,248.88,1.55,(0.63%)
241,Vulcan Materials Company,VMC,0.07%,274.83,0.45,(0.16%)
242,Sysco Corporation,SYY,0.07%,73.70,0.28,(0.38%)
243,Pg&e Corporation,PCG,0.07%,16.24,-0.20,(-1.22%)
244,Wabtec Inc.,WAB,0.07%,208.99,2.01,(0.97%)
245,"United Airlines Holdings, Inc.",UAL,0.07%,103.00,-4.97,(-4.60%)
246,Old Dominion Freight Line,ODFL,0.07%,191.54,2.75,(1.46%)
247,Keurig Dr Pepper Inc.,KDP,0.07%,31.05,-0.45,(-1.41%)
248,Iqvia Holdings Inc.,IQV,0.07%,206.00,0.58,(0.28%)
249,Entergy Corporation,ETR,0.07%,81.90,-0.69,(-0.84%)
250,Dell Technologies Inc.,DELL,0.07%,114.22,-0.90,(-0.78%)
251,Idexx Laboratories Inc,IDXX,0.07%,432.34,1.75,(0.41%)
252,"Yum! Brands, Inc.",YUM,0.07%,127.01,0.79,(0.63%)
253,Arch Capital Group Ltd,ACGL,0.07%,93.02,-0.19,(-0.20%)
254,Monster Beverage Corporation,MNST,0.07%,48.11,-1.10,(-2.24%)
255,Humana Inc.,HUM,0.07%,293.80,8.88,(3.12%)
256,Charter Comm Inc Del Cl a,CHTR,0.07%,359.96,7.16,(2.03%)
257,"Dexcom, Inc.",DXCM,0.07%,87.70,0.61,(0.70%)
258,Electronic Arts Inc,EA,0.07%,118.58,-23.77,(-16.70%)
259,Occidental Petroleum Corporation,OXY,0.07%,50.34,0.14,(0.28%)
260,"Equifax, Incorporated",EFX,0.07%,268.88,-3.00,(-1.10%)
261,"Monolithic Power Systems, Inc.",MPWR,0.07%,698.79,9.37,(1.36%)
262,Martin Marietta Materials,MLM,0.07%,548.77,-0.91,(-0.17%)
263,"Nasdaq, Inc.",NDAQ,0.06%,81.03,0.20,(0.25%)
264,Garmin Ltd,GRMN,0.06%,215.58,-0.62,(-0.29%)
265,"Diamondback Energy, Inc.",FANG,0.06%,176.63,-0.96,(-0.54%)
266,"General Mills, Inc.",GIS,0.06%,59.56,0.24,(0.40%)
267,Deckers Outdoor Corp,DECK,0.06%,218.57,3.65,(1.70%)
268,"Rockwell Automation, Inc.",ROK,0.06%,290.70,1.75,(0.61%)
269,Lennar Corporation Class A,LEN,0.06%,134.51,-1.62,(-1.19%)
270,"Dupont De Nemours, Inc.",DD,0.06%,78.21,0.59,(0.76%)
271,M&t Bank Corp.,MTB,0.06%,196.98,1.38,(0.71%)
272,"The Hartford Financial Services Group, Inc.",HIG,0.06%,110.89,-0.67,(-0.60%)
273,Willis Towers Watson Public Limited Companys,WTW,0.06%,319.00,-1.67,(-0.52%)
274,Iron Mountain Inc.,IRM,0.06%,111.31,1.33,(1.21%)
275,Centene Corporation,CNC,0.06%,65.12,1.59,(2.50%)
276,Hp Inc.,HPQ,0.06%,33.38,0.25,(0.75%)
277,"Extra Space Storage, Inc.",EXR,0.06%,151.50,1.43,(0.95%)
278,Eqt Corp,EQT,0.06%,53.58,0.18,(0.34%)
279,Hewlett Packard Enterprise Company,HPE,0.06%,24.36,-0.06,(-0.25%)
280,"Consolidated Edison, Inc.",ED,0.06%,90.76,-0.01,(-0.01%)
